2008,9,23,2,1310,1315,1423,1433,B6,224,N178JB,73,78,50,-10,-5,LGB,SJC,324,4,19,0,,0,NA,NA,NA,NA,NA
2008,9,3,3,1403,1353,1453,1505,YV,7195,N75987,50,72,30,-12,10,PHL,IAD,134,5,15,0,,0,NA,NA,NA,NA,NA
2008,10,19,7,1032,1035,1136,1145,WN,2439,N431WN,64,70,44,-9,-3,SNA,LAS,226,3,17,0,,0,NA,NA,NA,NA,NA
2008,8,10,7,832,840,1006,1019,US,1026,N922UW,94,99,71,-13,-8,TPA,CLT,508,9,14,0,,0,NA,NA,NA,NA,NA
2008,7,14,1,1304,1310,1546,1556,9E,2948,88889E,102,106,79,-10,-6,BNA,DTW,457,11,12,0,,0,NA,NA,NA,NA,NA
2008,3,19,3,744,755,915,933,AS,407,N975AS,91,98,74,-18,-11,OAK,PDX,543,3,14,0,,0,NA,NA,NA,NA,NA
2008,8,29,5,1119,1110,1255,1240,NW,1527,N779NC,96,90,62,15,9,MSP,MCI,393,8,26,0,,0,9,0,6,0,0
2008,4,28,1,618,620,730,750,WN,441,N200WN,72,90,60,-20,-2,SFO,LAS,414,5,7,0,,0,NA,NA,NA,NA,NA
2008,12,17,3,1325,1308,1559,1541,FL,318,N915AT,154,153,127,18,17,LGA,ATL,761,8,19,0,,0,0,0,1,0,17
2008,8,11,1,1825,1817,2057,2054,FL,794,N969AT,92,97,68,3,8,STL,ATL,483,8,16,0,,0,NA,NA,NA,NA,NA
2008,1,27,7,1430,1430,1649,1650,AA,725,N5CLAA,199,200,176,-1,0,MIA,ORD,1197,6,17,0,,0,NA,NA,NA,NA,NA
2008,7,23,3,944,935,1026,1025,WN,2485,N746SW,162,170,147,1,9,AUS,LAS,1090,5,10,0,,0,NA,NA,NA,NA,NA
2008,4,2,3,607,615,820,818,NW,171,N511US,193,183,166,2,-8,LGA,MSP,1020,7,20,0,,0,NA,NA,NA,NA,NA
2008,12,18,4,1913,1910,2230,2232,UA,482,N819UA,137,142,113,-2,3,SFO,DEN,967,7,17,0,,0,NA,NA,NA,NA,NA
